label	file_name	tedor_buffers	cp_buffer	tedor_scans
AG	20210216_1p9_FtsZ_mm_13CaGly_13CbAla	[52,58,54,50,55,51,57,53,56,59]	1	'5120'
2gly	1.9mm_FtsZ_mm_2gly_22Dec2020_Ivan	[13,19,15,8,16,12,18,14,17,21]	3	'1024'
13gly	1.9mm_FtsZ_mm_12C_15Jan2020	[54,50,51,52,53]	1	NaN
